2016,AAH - Alameda,53.18%
2017,AAH - Alameda,66.11%
2018,AAH - Alameda,70.95%
2019,AAH - Alameda,72.11%
2016,Anthem - Alameda,44.55%
2017,Anthem - Alameda,58.33%
2018,Anthem - Alameda,58.57%
2019,Anthem - Alameda,54.21%
2016,Anthem - Contra Costa,45.00%
2017,Anthem - Contra Costa,53.89%
2018,Anthem - Contra Costa,61.90%
2019,Anthem - Contra Costa,53.16%
2016,Anthem - Fresno,44.09%
2017,Anthem - Fresno,56.67%
2018,Anthem - Fresno,52.86%
2019,Anthem - Fresno,47.37%
2016,Anthem - Kings,46.82%
2017,Anthem - Kings,57.78%
2018,Anthem - Kings,59.05%
2019,Anthem - Kings,56.84%
2016,Anthem - Madera,51.36%
2017,Anthem - Madera,63.33%
2018,Anthem - Madera,64.76%
2019,Anthem - Madera,66.32%
2016,Anthem - Region 1,42.73%
2017,Anthem - Region 1,52.22%
2018,Anthem - Region 1,50.48%
2019,Anthem - Region 1,43.68%
2016,Anthem - Region 2,40.00%
2017,Anthem - Region 2,50.00%
2018,Anthem - Region 2,50.00%
2019,Anthem - Region 2,44.21%
2016,Anthem - Sacramento,45.91%
2017,Anthem - Sacramento,53.89%
2018,Anthem - Sacramento,50.48%
2019,Anthem - Sacramento,55.26%
2016,Anthem - San Benito,38.18%
2017,Anthem - San Benito,47.65%
2018,Anthem - San Benito,52.38%
2019,Anthem - San Benito,43.16%
2016,Anthem - San Francisco,58.64%
2017,Anthem - San Francisco,75.00%
2018,Anthem - San Francisco,66.19%
2019,Anthem - San Francisco,68.42%
2016,Anthem - Santa Clara,56.82%
2017,Anthem - Santa Clara,68.89%
2018,Anthem - Santa Clara,65.24%
2019,Anthem - Santa Clara,60.00%
2016,Anthem - Tulare,59.55%
2017,Anthem - Tulare,72.22%
2018,Anthem - Tulare,75.71%
2019,Anthem - Tulare,67.89%
2016,Blue Shield - San Diego,55.91%
2017,Blue Shield - San Diego,67.78%
2018,Blue Shield - San Diego,63.81%
2019,Blue Shield - San Diego,58.95%
2016,CalOptima - Orange,67.73%
2017,CalOptima - Orange,73.33%
2018,CalOptima - Orange,80.00%
2019,CalOptima - Orange,74.21%
2016,CalViva - Fresno,50.45%
2017,CalViva - Fresno,59.44%
2018,CalViva - Fresno,60.48%
2019,CalViva - Fresno,50.00%
2016,CalViva - Kings,42.73%
2017,CalViva - Kings,66.11%
2018,CalViva - Kings,67.62%
2019,CalViva - Kings,63.16%
2016,CalViva - Madera,55.45%
2017,CalViva - Madera,58.89%
2018,CalViva - Madera,68.57%
2019,CalViva - Madera,73.68%
2016,CCAH - Merced,56.36%
2017,CCAH - Merced,53.33%
2018,CCAH - Merced,56.19%
2019,CCAH - Merced,54.21%
2016,CCAH - Monterey/Santa Cruz,74.09%
2017,CCAH - Monterey/Santa Cruz,71.11%
2018,CCAH - Monterey/Santa Cruz,81.90%
